I,Ticker,Name,Sector,Industry,Avg Hold Period(days),BUY Range,SELL Range,Price Movement,last Price,Total Profit,Avg Volume,Volume Indicator,Beta Risk,Complete Transactions
*_,S32.L,South32 Limited,Basic Materials,Other Industrial Metals & Mining,1.33,138.80 - 146.60,142.40 - 149.04,3.60 - 10.24,141.40,324.08,208803,4,0.704,3
*_,SAA.L,M&C Saatchi plc,Communication Services,Advertising Agencies,0.00,172.78 - 187.38,179.50 - 192.00,6.72 - 19.22,174.50,308.28,82658,3,0.511,2
*_,SAAS.L,Microlise Group plc,Technology,Software Application,0.00,130.50 - 130.75,132.50 - 135.00,2.00 - 4.50,122.50,237.50,478997,4,0.214,2
*_,SAE.L,SIMEC Atlantis Energy Limited,Utilities,Utilities Renewable,0.00,3.02 - 3.27,3.20 - 3.50,0.18 - 0.48,2.65,1454.56,9155495,7,1.314,5
*_,SAFE.L,Safestore Holdings Plc,Real Estate,REIT Industrial,1.00,650.50 - 650.50,661.00 - 661.00,10.50 - 10.50,644.50,73.50,309339,4,0.836,1
@_,SAG.L,Science Group plc,Industrials,Consulting Services,0.33,566.66 - 568.00,577.00 - 579.50,10.34 - 12.84,575.00,257.92,45831,2,0.371,3
@_,SAGA.L,Saga plc,Financial Services,Insurance Diversified,1.50,175.40 - 187.00,183.57 - 190.59,8.17 - 15.19,191.10,508.67,164459,3,2.428,4
@_,SAL.L,SpaceandPeople plc,Communication Services,Advertising Agencies,7.00,150.00 - 150.00,159.00 - 159.00,9.00 - 9.00,155.00,297.00,995,1,0.334,1
*_,SALT.L,MicroSalt plc,Consumer Defensive,Packaged Foods,0.60,52.00 - 56.20,53.00 - 58.00,1.00 - 6.00,55.50,1117.93,75209,3,UNKNOWN,5
@_,SAN.L,UNKNOWN,UNKNOWN,UNKNOWN,7.00,1.68 - 1.68,1.70 - 1.70,0.02 - 0.02,1.69,59.64,UNKNOWN,0,UNKNOWN,1
@_,SAR.L,Sareum Holdings plc,Healthcare,Biotechnology,0.00,16.00 - 18.00,16.50 - 20.00,0.50 - 4.00,19.50,1968.67,285481,4,-1.767,7
@_,SAV.L,Savannah Resources Plc,Basic Materials,Other Industrial Metals & Mining,0.67,3.30 - 3.50,3.45 - 3.65,0.15 - 0.35,3.55,1494.65,757186,5,0.537,6
*_,SBAR.L,Sundae Bar Plc,Technology,Software Application,0.50,9.00 - 10.00,9.74 - 10.25,0.74 - 1.25,8.88,939.80,620281,5,UNKNOWN,6
@_,SBDS.L,Silver Bullet Data Services Group PLC,Communication Services,Advertising Agencies,0.80,26.00 - 26.50,27.00 - 27.25,1.00 - 1.25,26.50,727.80,3606,1,-0.191,5
@_,SBRE.L,Sabre Insurance Group plc,Financial Services,Insurance Brokers,0.50,150.20 - 150.95,152.00 - 153.60,1.80 - 3.40,151.94,146.85,471548,4,0.247,2
*_,SBRY.L,J Sainsbury plc,Consumer Defensive,Grocery Stores,1.67,292.56 - 296.84,295.60 - 301.20,3.04 - 8.64,295.40,179.04,4195036,6,0.954,3
*_,SBTX.L,SkinBioTherapeutics plc,Healthcare,Biotechnology,0.33,16.00 - 16.25,16.25 - 17.00,0.25 - 1.00,14.38,448.20,667745,5,0.701,3
@_,SCE.L,Surface Transforms Plc,Consumer Cyclical,Auto Parts,2.00,1.15 - 1.15,1.83 - 1.83,0.68 - 0.68,1.70,2955.96,9993325,7,0.071,1
@_,SCF.L,Schroder Income Growth Ord,Financial Services,Asset Management,0.80,311.25 - 314.00,315.00 - 317.60,3.75 - 6.35,319.00,296.07,89211,3,UNKNOWN,5
@_,SCGL.L,Sealand Capital Galaxy Limited,Communication Services,Internet Content & Information,0.00,0.35 - 0.35,0.36 - 0.38,0.01 - 0.03,0.38,4138.69,3187188,6,-0.143,13
*_,SCLP.L,Scancell Holdings plc,Healthcare,Biotechnology,0.12,10.50 - 10.80,10.89 - 11.20,0.39 - 0.70,10.50,1419.91,315283,4,-0.065,8
*_,SCP.L,Schroder UK Mid Cap Fund plc,UNKNOWN,UNKNOWN,2.00,688.00 - 688.39,696.00 - 696.00,8.00 - 8.00,686.88,109.27,33051,2,UNKNOWN,2
*_,SCT.L,Softcat plc,Technology,Electronics & Computer Distribution,1.33,1552.00 - 1576.00,1577.00 - 1597.00,25.00 - 45.00,1558.00,195.00,196363,3,0.738,3
@_,SDG.L,Sanderson Design Group plc,Consumer Cyclical,Furnishings  Fixtures & Appliances,1.00,48.00 - 50.59,52.90 - 55.00,4.90 - 7.00,55.00,1535.90,508093,5,0.843,3
*_,SDI.L,SDI Group plc,Technology,Scientific & Technical Instruments,0.14,87.00 - 87.90,87.93 - 89.00,0.93 - 2.00,87.50,511.29,387174,4,1.257,7
@_,SDP.L,Schroder AsiaPacific Ord,Financial Services,Asset Management,2.67,595.00 - 605.20,602.00 - 612.00,7.00 - 17.00,610.67,166.40,163127,3,UNKNOWN,3
*_,SDR.L,Schroders plc,Financial Services,Asset Management,2.33,391.40 - 396.20,396.00 - 400.60,4.60 - 9.20,395.40,162.24,1831166,6,1.17,3
*_,SDY.L,Speedy Hire Plc,Industrials,Rental & Leasing Services,0.00,29.29 - 32.00,29.75 - 32.42,0.46 - 3.12,30.00,219.92,1741271,6,1.089,3
*_,SEA.L,Seascape Energy Asia plc,Energy,Oil & Gas E&P,0.29,68.02 - 70.12,69.19 - 72.00,1.17 - 3.98,69.00,817.66,175224,3,-0.932,7
@_,SEC.L,Strategic Equity Capital Ord,Financial Services,Asset Management,2.50,377.31 - 382.00,385.00 - 386.05,7.69 - 8.74,382.00,152.62,91604,3,UNKNOWN,2
@_,SEE.L,Seeing Machines Limited,Technology,Software Infrastructure,0.22,2.69 - 2.75,2.79 - 2.82,0.10 - 0.12,2.88,1305.76,5002168,7,0.439,9
@_,SEED.L,Seed Innovations Ord,Financial Services,Asset Management,0.11,2.40 - 2.52,2.55 - 2.70,0.15 - 0.30,2.55,2250.73,1559129,6,UNKNOWN,9
@_,SEIT.L,SDCL Efficiency Income Trust plc.,Financial Services,Asset Management,1.20,57.30 - 58.00,58.29 - 58.64,0.99 - 1.34,57.80,339.87,1695761,6,UNKNOWN,5
*_,SEPL.L,Seplat Energy Plc,Energy,Oil & Gas E&P,1.50,252.00 - 256.00,260.00 - 268.00,8.00 - 16.00,254.00,380.00,148397,3,-0.046,2
*_,SEQI.L,Sequoia Economic Infrastructure Inc Ord,Financial Services,Asset Management,5.00,79.57 - 79.57,80.60 - 80.60,1.03 - 1.03,79.40,63.86,1839620,6,UNKNOWN,1
@_,SERE.L,Schroder European Real Estate Inv Trust,Real Estate,REIT Diversified,0.80,67.00 - 68.36,68.44 - 69.60,1.44 - 2.60,68.50,507.47,101108,3,UNKNOWN,5
*_,SFOR.L,S4 Capital plc,Communication Services,Advertising Agencies,1.00,21.75 - 22.32,22.35 - 23.25,0.60 - 1.50,21.40,528.56,3963322,6,0.806,3
@_,SFR.L,Severfield plc,Industrials,Engineering & Construction,2.00,29.68 - 32.68,32.60 - 33.90,2.92 - 4.22,32.80,677.22,361973,4,0.869,2
@_,SFT.L,Software Circle plc,Industrials,Specialty Business Services,0.60,28.35 - 28.50,28.80 - 29.00,0.45 - 0.65,28.50,451.02,65471,3,-0.287,5
*_,SGE.L,The Sage Group plc,Technology,Software Application,1.00,1180.50 - 1180.50,1198.00 - 1198.00,17.50 - 17.50,1093.50,70.00,1880210,6,0.38,1
@_,SGRO.L,SEGRO Plc,Real Estate,REIT Industrial,3.00,631.60 - 631.60,643.60 - 643.60,12.00 - 12.00,636.20,84.00,2185782,6,0.818,1
*_,SHC.L,Shaftesbury Capital PLC,Real Estate,REIT Retail,0.00,152.60 - 152.60,154.50 - 154.50,1.90 - 1.90,151.70,60.80,2223459,6,1.155,1
*_,SHI.L,SIG plc,Industrials,Industrial Distribution,0.25,12.50 - 12.70,12.73 - 12.95,0.23 - 0.45,11.56,421.46,1402830,6,1.273,4
*_,SHOE.L,Shoe Zone plc,Consumer Cyclical,Apparel Retail,0.33,68.25 - 88.04,74.30 - 90.00,6.05 - 21.75,69.40,918.81,47253,2,1.128,3
@_,SHRS.L,Shires Income Plc,UNKNOWN,UNKNOWN,1.25,270.00 - 276.00,275.00 - 279.19,5.00 - 9.19,278.00,254.34,72706,3,UNKNOWN,4
@_,SJG.L,Schroder Japan Trust Ord,Financial Services,Asset Management,1.00,269.01 - 277.00,274.40 - 280.00,5.39 - 10.99,279.40,396.72,284204,4,UNKNOWN,5
*_,SKA.L,Shuka Minerals Plc,Basic Materials,Other Industrial Metals & Mining,0.00,2.82 - 2.88,3.00 - 3.15,0.18 - 0.33,2.75,2466.28,120864,3,0.822,5
@_,SKL.L,Skillcast Group plc,Technology,Software Application,2.00,55.90 - 56.50,57.70 - 57.70,1.80 - 1.80,56.50,265.80,26945,2,0.352,2
*_,SLP.L,Sylvania Platinum Limited,Basic Materials,Other Precious Metals & Mining,0.83,72.91 - 77.10,74.70 - 78.00,1.79 - 5.09,76.08,776.34,648483,5,0.468,6
@_,SMIF.L,TwentyFour Select Monthly Income Ord,Financial Services,Asset Management,5.00,87.26 - 87.26,88.40 - 88.40,1.14 - 1.14,87.98,64.98,1129552,6,UNKNOWN,1
@_,SMIN.L,Smiths Group plc,Industrials,Specialty Industrial Machinery,6.00,2306.00 - 2306.00,2338.00 - 2338.00,32.00 - 32.00,2328.00,64.00,947823,5,0.596,1
@_,SML.L,Strategic Minerals Plc,Basic Materials,Other Industrial Metals & Mining,0.14,0.30 - 0.31,0.31 - 0.32,0.01 - 0.02,0.31,1648.21,7643470,7,0.455,7
@_,SMT.L,Scottish Mortgage Investment Trust PLC,UNKNOWN,UNKNOWN,0.00,1064.15 - 1072.80,1080.81 - 1085.50,16.66 - 21.35,1078.00,117.44,1612192,6,UNKNOWN,2
@_,SMWH.L,WH Smith PLC,Consumer Cyclical,Specialty Retail,2.00,1026.84 - 1065.00,1058.00 - 1095.00,31.16 - 68.16,1079.01,376.64,434957,4,1.5,3
@_,SN.L,Smith & Nephew plc,Healthcare,Medical Devices,3.00,1332.50 - 1344.00,1362.50 - 1363.50,30.00 - 31.00,1346.00,148.50,3862708,6,0.618,2
@_,SNR.L,Senior plc,Industrials,Aerospace & Defense,0.50,179.20 - 196.80,186.40 - 201.17,7.20 - 21.97,196.80,689.15,1173223,6,1.228,4
*_,SNT.L,Sabien Technology Group Plc,Industrials,Specialty Industrial Machinery,0.00,7.50 - 7.50,7.78 - 7.80,0.28 - 0.30,6.75,572.76,37512,2,0.496,3
*_,SNWS.L,Smiths News plc,Communication Services,Publishing,0.75,55.00 - 55.20,55.94 - 57.00,0.94 - 2.00,54.91,467.10,264417,4,0.372,4
*_,SNX.L,Synectics plc,Industrials,Security & Protection Services,1.00,317.25 - 317.25,322.00 - 322.50,4.75 - 5.25,305.00,150.00,32174,2,0.607,2
@_,SOHO.L,Social Housing REIT plc,UNKNOWN,UNKNOWN,0.00,67.00 - 67.00,68.40 - 68.40,1.40 - 1.40,67.40,103.60,604465,5,UNKNOWN,1
@_,SOI.L,Schroder Oriental Income Fund Limited,UNKNOWN,UNKNOWN,6.00,301.39 - 301.39,305.89 - 305.89,4.50 - 4.50,303.62,72.00,261625,4,UNKNOWN,1
@_,SOLG.L,SolGold Plc,Basic Materials,Other Industrial Metals & Mining,1.00,11.79 - 13.07,13.22 - 14.50,1.43 - 2.71,14.90,1565.58,18292602,8,1.149,4
*_,SOLI.L,Solid State plc,Technology,Electronic Components,0.00,155.00 - 166.10,156.75 - 168.90,1.75 - 13.90,157.50,793.40,62671,3,0.76,8
@_,SOM.L,Somero Enterprises  Inc.,Industrials,Farm & Heavy Construction Machinery,1.00,218.25 - 224.00,227.45 - 230.00,9.20 - 11.75,225.00,502.04,75200,3,0.641,3
@_,SORT.L,Sorted Group Holdings Plc,Technology,Software Application,2.00,18.00 - 18.10,19.00 - 20.00,1.00 - 2.00,19.00,1079.40,1160,1,0.075,3
@_,SOS.L,Sosandar Plc,Consumer Cyclical,Internet Retail,0.17,5.00 - 5.10,5.18 - 5.28,0.18 - 0.28,5.25,1355.97,113465,3,1.54,6
*_,SOU.L,Sound Energy plc,Energy,Oil & Gas E&P,0.33,0.72 - 0.73,0.74 - 0.80,0.02 - 0.08,0.70,1723.12,2682290,6,1.215,6
*_,SPA.L,1Spatial Plc,Technology,Software Application,0.75,48.67 - 49.00,49.65 - 49.76,0.99 - 1.09,47.50,383.52,191905,3,0.051,4
@_,SPEC.L,INSPECS Group plc,Healthcare,Medical Instruments & Supplies,0.14,45.00 - 46.35,45.50 - 49.00,0.50 - 4.00,47.50,1218.14,96281,3,2.187,7
*_,SPI.L,Spire Healthcare Group plc,Healthcare,Medical Care Facilities,0.67,208.00 - 225.00,211.65 - 229.00,3.65 - 21.00,222.00,634.02,727642,5,0.699,6
@_,SPR.L,Springfield Properties Plc,Consumer Cyclical,Residential Construction,1.75,99.20 - 99.90,100.74 - 102.00,1.54 - 2.80,101.00,309.50,62162,3,1.14,4
*_,SPSY.L,Spectra Systems Corporation,Technology,Software Application,0.00,208.00 - 208.16,212.00 - 216.00,4.00 - 8.00,204.00,380.16,36610,2,-0.058,3
@_,SPT.L,Spirent Communications plc,Technology,Software Infrastructure,1.00,193.80 - 193.80,196.40 - 196.40,2.60 - 2.60,196.00,65.00,1206668,6,0.497,1
@_,SQZ.L,Serica Energy plc,Energy,Oil & Gas E&P,1.67,165.00 - 168.58,169.40 - 171.65,4.40 - 6.65,170.80,383.68,1470742,6,0.002,3
*_,SRAD.L,Stelrad Group PLC,Industrials,Building Products & Equipment,1.00,158.00 - 167.00,163.00 - 170.00,5.00 - 12.00,162.50,461.45,27204,2,0.318,4
@_,SRB.L,Serabi Gold plc,Basic Materials,Gold,1.67,195.15 - 201.00,201.93 - 204.80,6.78 - 9.65,199.00,327.90,255788,4,0.575,3
@_,SRC.L,SigmaRoc plc,Basic Materials,Building Materials,1.67,114.20 - 124.20,123.51 - 126.00,9.31 - 11.80,122.80,576.33,4088491,6,1.197,3
*_,SREI.L,Schroder Real Estate Invest Ord,Real Estate,REIT Diversified,1.00,51.73 - 52.01,52.34 - 52.70,0.62 - 0.97,51.20,124.80,1163278,6,UNKNOWN,2
@_,SRP.L,Serco Group plc,Industrials,Specialty Business Services,1.00,208.57 - 219.20,218.80 - 226.27,10.23 - 17.70,223.80,563.30,4785766,6,0.229,3
@_,SRT.L,SRT Marine Systems plc,Technology,Scientific & Technical Instruments,0.83,82.95 - 87.00,86.00 - 88.60,3.05 - 5.65,86.50,651.22,318073,4,0.664,6
@_,SSE.L,SSE plc,Utilities,Utilities Diversified,2.00,1751.00 - 1751.00,1787.00 - 1787.00,36.00 - 36.00,1783.00,72.00,2758839,6,0.588,1
*_,SSIT.L,Seraphim Space Investment Trust Ord,Financial Services,Asset Management,0.00,85.04 - 85.04,86.00 - 86.00,0.96 - 0.96,83.44,55.68,568731,5,UNKNOWN,1
*_,SSPG.L,SSP Group plc,Consumer Cyclical,Restaurants,0.33,163.61 - 167.30,166.50 - 169.20,2.89 - 5.59,163.40,225.80,1859502,6,1.762,3
*_,SST.L,Scottish Oriental Smaller Cos Ord,Financial Services,Asset Management,0.67,295.76 - 298.00,300.28 - 303.00,4.52 - 7.24,297.95,221.60,126690,3,UNKNOWN,3
@_,STAF.L,Staffline Group PLC,Industrials,Staffing & Employment Services,0.75,44.00 - 45.20,45.22 - 47.00,1.22 - 3.00,45.80,585.82,157231,3,1.12,4
*_,STAN.L,Standard Chartered PLC,Financial Services,Banks Diversified,6.00,1368.50 - 1368.50,1426.50 - 1426.50,58.00 - 58.00,1304.00,174.00,5829772,7,0.684,1
*_,STAR.L,Star Energy Group Plc,Energy,Oil & Gas E&P,0.29,6.10 - 6.55,6.40 - 7.00,0.30 - 0.90,6.50,2440.18,66600,3,-0.527,7
*_,STB.L,Secure Trust Bank PLC,Financial Services,Banks Regional,1.20,1100.00 - 1198.22,1125.00 - 1220.00,25.00 - 120.00,1150.87,825.52,227525,4,0.882,5
@_,STCM.L,Steppe Cement Ltd.,Basic Materials,Building Materials,0.75,15.75 - 17.74,17.00 - 19.00,1.25 - 3.25,18.00,1710.61,145587,3,0.705,4
*_,STEM.L,SThree plc,Industrials,Staffing & Employment Services,1.00,204.68 - 207.00,207.50 - 212.50,2.82 - 7.82,202.50,199.68,325450,4,0.731,2
*_,STG.L,Strip Tinning Holdings plc,Consumer Cyclical,Auto Parts,0.00,24.50 - 24.50,26.49 - 26.49,1.99 - 1.99,23.50,811.92,7115,1,0.712,2
@_,STJ.L,St. James's Place plc,Financial Services,Asset Management,3.00,1288.50 - 1288.50,1314.50 - 1314.50,26.00 - 26.00,1297.50,78.00,2792106,6,1.068,1
@_,STS.L,STS Global Income & Growth Trust Ord,Financial Services,Asset Management,1.33,243.00 - 246.00,248.00 - 248.72,5.00 - 5.72,244.00,209.80,119709,3,UNKNOWN,3
*_,STVG.L,STV Group plc,Communication Services,Broadcasting,0.83,125.98 - 128.50,128.90 - 131.50,2.92 - 5.52,126.46,678.16,124348,3,0.005,6
@_,STX.L,Shield Therapeutics plc,Healthcare,Drug Manufacturers Specialty & Generic,0.30,4.45 - 5.53,4.66 - 5.61,0.21 - 1.16,5.65,2563.67,2209812,6,1.235,10
@_,SUN.L,Surgical Innovations Group plc,Healthcare,Medical Devices,0.00,0.66 - 0.66,0.69 - 0.70,0.04 - 0.04,0.70,758.90,347014,4,0.291,3
@_,SUP.L,Supreme Plc,Industrials,Conglomerates,0.50,183.50 - 184.88,186.00 - 191.90,2.50 - 8.40,185.90,454.14,139755,3,1.105,4
*_,SUPR.L,Supermarket Income REIT Ord,Real Estate,REIT Retail,4.00,80.00 - 80.00,82.30 - 82.30,2.30 - 2.30,79.40,142.60,2778208,6,0.468,1
@_,SUS.L,S&U plc,Financial Services,Credit Services,0.75,1840.00 - 1905.00,1910.00 - 1930.00,70.00 - 90.00,1872.00,307.60,30677,2,0.484,4
@_,SVML.L,Sovereign Metals Limited,Basic Materials,Other Industrial Metals & Mining,0.57,35.40 - 36.37,36.65 - 37.00,1.25 - 1.60,36.00,940.96,107585,3,0.579,7
@_,SVNS.L,Solvonis Therapeutics plc,Industrials,Specialty Industrial Machinery,6.00,0.28 - 0.28,0.39 - 0.39,0.11 - 0.11,0.34,1996.28,74497489,9,1.609,1
*_,SVS.L,Savills plc,Real Estate,Real Estate Services,0.00,962.00 - 962.00,972.00 - 972.00,10.00 - 10.00,917.00,50.00,333173,4,1.172,1
@_,SWEF.L,Starwood European Real Estate Finance,Financial Services,Asset Management,1.00,86.50 - 87.10,88.00 - 89.00,1.50 - 2.50,88.00,359.10,85455,3,UNKNOWN,5
*_,SWG.L,Shearwater Group plc,Technology,Software Infrastructure,1.00,62.00 - 65.56,64.00 - 69.19,2.00 - 7.19,64.00,726.96,25650,2,0.693,4
*_,SWR.L,Smurfit Westrock Plc,Consumer Cyclical,Packaging & Containers,3.00,3228.00 - 3255.00,3283.00 - 3346.00,55.00 - 118.00,3119.00,146.00,252734,4,1.029,2
*_,SYM.L,Symphony Environmental Technologies plc,Consumer Cyclical,Packaging & Containers,0.14,11.20 - 11.60,11.50 - 11.98,0.30 - 0.78,11.50,1452.97,113662,3,0.536,7
@_,SYNT.L,Synthomer plc,Basic Materials,Specialty Chemicals,0.60,60.01 - 65.20,61.50 - 70.40,1.49 - 10.39,68.04,1135.69,1792968,6,1.956,5
*_,SYS1.L,System1 Group PLC,Communication Services,Advertising Agencies,0.67,430.00 - 461.46,440.00 - 470.00,10.00 - 40.00,440.00,583.40,26228,2,1.261,3
@_,TAM.L,Tatton Asset Management plc,Financial Services,Asset Management,1.50,718.00 - 740.00,728.00 - 750.00,10.00 - 32.00,746.00,289.08,125697,3,0.698,4
@_,TAN.L,Tanfield Group PLC,Financial Services,Asset Management,6.00,4.50 - 4.50,4.70 - 4.70,0.20 - 0.20,4.70,222.20,3182,1,0.476,1
*_,TAST.L,Tasty plc,Consumer Cyclical,Restaurants,1.00,0.59 - 0.61,0.61 - 0.64,0.03 - 0.05,0.60,1173.94,2358047,6,1.281,5
*_,TATE.L,Tate & Lyle plc,Consumer Defensive,Packaged Foods,4.00,535.50 - 535.50,549.50 - 549.50,14.00 - 14.00,531.75,126.00,662511,5,0.423,1
@_,TAVI.L,Tavistock Investments Plc,Financial Services,Capital Markets,0.67,3.60 - 5.32,4.14 - 5.70,0.54 - 2.10,5.65,3568.36,1735143,6,-0.588,6
@_,TBCG.L,TBC Bank Group PLC,Financial Services,Banks Regional,0.50,4250.00 - 4855.00,4745.80 - 5015.00,495.80 - 765.00,4555.00,910.80,109492,3,0.778,4
@_,TBLD.L,tinyBuild  Inc.,Communication Services,Electronic Gaming & Multimedia,0.25,6.00 - 6.25,6.47 - 6.50,0.47 - 0.50,6.25,1187.70,179748,3,-0.657,4
*_,TCAP.L,TP ICAP Group PLC,Financial Services,Capital Markets,2.00,276.84 - 281.00,285.00 - 288.50,8.16 - 11.66,277.00,277.88,2140347,6,0.634,2
*_,TCF.L,Theracryf Plc,Healthcare,Biotechnology,0.00,0.23 - 0.23,0.24 - 0.24,0.01 - 0.01,0.22,434.78,1721354,6,1.233,2
@_,TEAM.L,TEAM plc,Financial Services,Asset Management,3.50,38.50 - 38.50,39.06 - 40.00,0.56 - 1.50,38.50,265.74,16073,2,0.776,2
*_,TEK.L,Tekcapital plc,Financial Services,Asset Management,0.33,6.45 - 7.42,6.70 - 7.56,0.25 - 1.11,6.75,1356.96,576124,5,0.964,9
@_,TEM.L,Templeton Emerging Mkts Invmt Tr TEMIT,Financial Services,Asset Management,3.00,197.40 - 197.51,200.04 - 201.00,2.65 - 3.60,199.22,153.25,2393300,6,UNKNOWN,2
@_,TENG.L,Ten Lifestyle Group Plc,Consumer Cyclical,Travel Services,2.50,58.00 - 58.00,60.25 - 62.00,2.25 - 4.00,58.50,537.50,30195,2,0.886,2
@_,TEP.L,Telecom Plus Plc,Utilities,Utilities Diversified,1.00,1828.00 - 1828.00,1874.00 - 1874.00,46.00 - 46.00,1874.00,92.00,115547,3,0.537,1
*_,TERN.L,Tern Plc,Financial Services,Asset Management,0.00,0.90 - 0.90,0.93 - 0.93,0.03 - 0.03,0.88,333.30,1274787,6,-0.036,2
@_,TET.L,Treatt plc,Basic Materials,Specialty Chemicals,1.00,208.50 - 217.50,212.50 - 222.84,4.00 - 14.34,221.00,603.32,295464,4,0.744,5
*_,TFW.L,FW Thorpe Plc,Industrials,Electrical Equipment & Parts,0.00,303.18 - 316.90,312.50 - 334.00,9.32 - 30.82,309.50,1112.66,19813,2,0.378,6
*_,TGA.L,Thungela Resources Limited,Energy,Thermal Coal,1.33,379.00 - 405.00,388.50 - 410.50,9.50 - 31.50,382.50,246.50,205874,4,-0.941,3
@_,TGP.L,Tekmar Group plc,Industrials,Engineering & Construction,0.00,5.50 - 5.70,5.88 - 6.10,0.38 - 0.60,6.00,1417.66,74689,3,2.216,4
*_,THG.L,THG Plc,Consumer Cyclical,Internet Retail,0.60,30.14 - 33.96,31.04 - 35.20,0.90 - 5.06,31.52,908.93,5779960,7,2.215,5
@_,THR.L,Thor Energy Plc,Basic Materials,Other Industrial Metals & Mining,0.00,0.47 - 0.49,0.50 - 0.50,0.03 - 0.03,0.50,1383.73,248378,4,-0.487,5
*_,THRL.L,Target Healthcare REIT Ord,Real Estate,REIT Healthcare Facilities,5.00,99.00 - 99.00,101.20 - 101.20,2.20 - 2.20,96.80,110.00,775185,5,UNKNOWN,1
*_,THRU.L,Thruvision Group plc,Industrials,Security & Protection Services,0.50,1.40 - 1.63,1.45 - 1.70,0.05 - 0.30,1.50,1919.68,2608719,6,0.073,8
@_,THS.L,Tharisa plc,Basic Materials,Other Precious Metals & Mining,0.80,86.00 - 87.00,87.00 - 89.00,1.00 - 3.00,88.00,470.40,271586,4,0.911,5
@_,THX.L,Thor Explorations Ltd.,Basic Materials,Gold,0.80,40.50 - 43.30,41.92 - 48.88,1.42 - 8.38,48.99,1197.22,765723,5,1.135,5
@_,TIA.L,Tialis Essential IT PLC,Technology,Information Technology Services,0.00,60.00 - 60.00,62.50 - 62.50,2.50 - 2.50,62.50,207.50,562,1,0.013,1
@_,TIDE.L,Crimson Tide plc,Technology,Software Application,0.00,60.60 - 60.60,65.00 - 65.00,4.40 - 4.40,65.00,360.80,1573,1,0.236,1
*_,TIG.L,Team Internet Group plc,Communication Services,Internet Content & Information,0.75,62.85 - 63.62,64.36 - 64.82,1.51 - 1.98,58.70,425.75,170543,3,0.738,4
*_,TIME.L,Time Finance plc,Financial Services,Credit Services,0.25,53.55 - 56.25,54.80 - 56.90,1.25 - 3.35,53.50,342.82,339986,4,1.26,4
@_,TKO.L,Taseko Mines Limited,Basic Materials,Copper,0.00,230.20 - 230.20,241.00 - 241.00,10.80 - 10.80,240.00,226.80,12112,2,1.699,1
@_,TLW.L,Tullow Oil plc,Energy,Oil & Gas E&P,2.00,9.37 - 9.37,11.24 - 11.24,1.87 - 1.87,11.04,996.71,14975397,8,0.8,1
@_,TM1.L,Technology Minerals Plc,Basic Materials,Other Industrial Metals & Mining,0.60,0.09 - 0.11,0.12 - 0.12,0.02 - 0.03,0.10,5043.98,14112588,8,-0.252,5
@_,TMG.L,The Mission Group plc,Communication Services,Advertising Agencies,0.33,23.00 - 24.00,24.50 - 25.00,1.50 - 2.00,24.00,761.65,177260,3,1.563,3
@_,TMI.L,Taylor Maritime Limited,Industrials,Marine Shipping,0.00,0.80 - 0.80,0.81 - 0.82,0.01 - 0.02,0.81,249.92,24841,2,0.448,3
*_,TMIP.L,Taylor Maritime Limited,Industrials,Marine Shipping,1.00,59.10 - 61.44,60.22 - 63.00,1.12 - 3.90,59.10,409.86,319423,4,0.448,5
*_,TMO.L,Time Out Group plc,Consumer Cyclical,Restaurants,1.75,15.05 - 15.85,16.00 - 16.50,0.95 - 1.45,15.50,951.39,59104,3,0.401,4
@_,TMPL.L,Temple Bar Ord,Financial Services,Asset Management,1.50,329.34 - 339.57,333.20 - 344.99,3.86 - 15.65,342.50,249.63,1044540,6,UNKNOWN,4
@_,TMT.L,TMT Investments PLC,Financial Services,Asset Management,0.29,2.78 - 3.27,2.87 - 3.35,0.08 - 0.57,3.30,1810.09,46068,2,1.367,7
*_,TND.L,Tandem Group plc,Consumer Cyclical,Leisure,2.00,210.00 - 210.00,213.72 - 213.84,3.72 - 3.84,196.00,173.88,4553,1,1.124,2
@_,TOWN.L,Town Centre Securities Plc,Real Estate,REIT Diversified,0.75,130.06 - 134.50,136.99 - 139.00,6.93 - 8.94,133.00,906.15,17078,2,1.01,4
@_,TPFG.L,The Property Franchise Group PLC,Real Estate,Real Estate Services,1.67,546.77 - 556.32,559.00 - 566.00,12.23 - 19.23,563.00,265.51,136408,3,0.167,3
@_,TPK.L,Travis Perkins plc,Industrials,Industrial Distribution,1.00,564.50 - 611.00,579.98 - 618.50,15.48 - 54.00,611.50,507.12,1065169,6,1.358,4
*_,TPT.L,Topps Tiles Plc,Consumer Cyclical,Home Improvement Retail,0.00,37.70 - 38.88,39.20 - 39.90,1.50 - 2.20,36.82,636.03,175438,3,1.143,4
*_,TPX.L,TPXimpact Holdings plc,Technology,Information Technology Services,0.00,19.20 - 19.20,20.00 - 20.00,0.80 - 0.80,18.50,208.00,61327,3,1.841,1
@_,TRAC.L,t42 IoT Tracking Solutions PLC,Technology,Scientific & Technical Instruments,4.00,2.03 - 2.03,3.25 - 3.25,1.22 - 1.22,2.50,3012.18,775702,5,0.967,1
*_,TRB.L,Tribal Group plc,Technology,Software Application,1.33,49.00 - 53.50,49.89 - 57.94,0.89 - 8.94,48.85,1109.49,155966,3,0.176,3
